Société_de_facturation;Société_de_livraison;Code_avancement;Numéro_de_commande;Numéro_de_version;Date_accordée_au_client
01;01;C;C01/NKN986G;2020-11-25-03.34.14.156000;25/11/2020
01;01;C;C01/NYL690B;2020-11-25-03.34.14.499000;25/11/2020
01;01;C;C01/PFD831I;2020-11-25-03.34.14.577000;13/11/2020
01;01;C;C01/PGB580C;2020-11-25-03.34.14.650000;20/11/2020
01;01;C;C01/PHP965C;2020-11-25-03.34.14.738000;16/10/2020
01;01;C;C01/PJN469A;2020-11-25-03.34.14.945000;25/11/2020
01;01;C;C01/PSC670B;2020-11-25-03.34.15.372000;06/11/2020
01;01;C;C01/PUS518C;2020-11-25-03.34.15.440000;17/11/2020
01;01;C;C01/PUW495H;2020-11-25-03.34.15.510000;25/11/2020
01;01;C;C01/PWG730B;2020-11-25-03.34.15.732000;25/11/2020
01;01;C;C01/PWG955E;2020-11-25-03.34.15.803000;24/11/2020
01;01;C;C01/PXK696B;2020-11-25-03.34.16.035000;25/11/2020
01;01;C;C01/PXK817B;2020-11-25-03.34.16.115000;25/11/2020
01;01;C;C01/PXQ164D;2020-11-25-03.34.16.198000;25/11/2020
01;01;C;C01/PYX598E;2020-11-25-03.34.16.288000;20/11/2020
01;01;C;C01/PZK856F;2020-11-25-03.34.16.372000;24/11/2020
01;01;C;C01/QAP129B;2020-11-25-03.34.16.579000;25/11/2020
01;01;C;C01/QAR628B;2020-11-25-03.34.16.654000;25/11/2020
01;01;C;C01/QAY340A;2020-11-25-03.34.16.723000;25/11/2020
01;01;C;C01/QAZ668B;2020-11-25-03.34.16.790000;24/11/2020
01;01;C;C01/QBA546B;2020-11-25-03.34.16.852000;25/11/2020
01;01;C;C01/QBB041B;2020-11-25-03.34.16.914000;25/11/2020
01;01;C;C01/QBE367B;2020-11-25-03.34.16.983000;19/11/2020
01;01;C;C01/QBJ323B;2020-11-25-03.34.17.041000;25/11/2020
01;01;M;C01/QBK509;2020-11-25-03.34.17.105000;26/11/2020
01;01;C;C01/QBQ731D;2020-11-25-03.34.17.180000;25/11/2020
01;01;C;C01/QBU415B;2020-11-25-03.34.17.245000;25/11/2020
01;01;C;C01/QCB510A;2020-11-25-03.34.17.312000;19/11/2020
01;01;C;C01/QCH860D;2020-11-25-03.34.17.393000;24/11/2020
01;01;C;C01/QCV470B;2020-11-25-03.34.17.456000;20/11/2020
01;01;C;C01/QCV863A;2020-11-25-03.34.17.519000;23/11/2020
01;01;C;C01/QDB651C;2020-11-25-03.34.17.579000;23/11/2020
01;01;C;C01/QDK906B;2020-11-25-03.34.17.644000;25/11/2020
01;01;C;C01/QDT948B;2020-11-25-03.34.17.708000;24/11/2020
01;01;C;C01/QDX335A;2020-11-25-03.34.17.769000;24/11/2020
01;01;C;C01/QDY182B;2020-11-25-03.34.17.827000;25/11/2020
01;01;C;C01/QDY333A;2020-11-25-03.34.17.884000;24/11/2020
01;01;C;C01/QDY744A;2020-11-25-03.34.17.940000;24/11/2020
01;01;C;C01/QDZ454A;2020-11-25-03.34.17.997000;25/11/2020
01;01;C;C01/QDZ591A;2020-11-25-03.34.18.054000;25/11/2020
01;01;C;C01/QEA282A;2020-11-25-03.34.18.108000;24/11/2020
01;01;C;C01/QEA301B;2020-11-25-03.34.18.169000;25/11/2020
01;01;C;C01/QEB002B;2020-11-25-03.34.18.228000;25/11/2020
01;01;C;C01/QEB016A;2020-11-25-03.34.18.286000;25/11/2020
01;01;C;C01/QEE316A;2020-11-25-03.34.18.339000;25/11/2020
01;01;C;C01/QEE362A;2020-11-25-03.34.18.393000;25/11/2020
01;01;C;C01/QEE904A;2020-11-25-03.34.18.443000;25/11/2020
01;01;C;C01/QEG637;2020-11-25-03.34.18.498000;25/11/2020
01;01;C;C01/QEG913A;2020-11-25-03.34.18.688000;25/11/2020
01;01;C;C01/QEH248A;2020-11-25-03.34.18.831000;25/11/2020
01;01;C;C01/QEH457A;2020-11-25-03.34.18.969000;25/11/2020
01;01;C;C01/QEH710B;2020-11-25-03.34.19.037000;25/11/2020
01;01;C;C01/QEH938B;2020-11-25-03.34.19.103000;25/11/2020
